census_aland,census_aland_sqmi,census_awater,census_awater_sqmi,census_diversity_score,census_educational_score,census_geoid,census_intptlat,census_intptlong,census_median_age,census_median_household_income,census_population,top_category
43179367,16.672,345025,0.133,0.03616371411117899,4.1622153039488765,15042,40.690315,-80.204823                                                                                                                                                 ,48.9,55865.0,8185,Socializing
68518931,26.455,0,0.,0.0,3.9565217391304346,68946,40.111639,-99.985789                                                                                                                                                         ,29.1,41458.0,39,Others
398349175,153.803,82433,0.032,0.04795918367346939,4.156779661016949,80648,40.755864,-104.740919                                                                                                                                               ,41.9,65909.0,980,Outdoors & Adventure
96031719,37.078,20304,0.008,0.5276283618581907,3.3868613138686134,29114,33.954301,-79.932279                                                                                                                                                  ,39.3,35341.0,2045,Others
215615080,83.249,1526121,0.589,0.329083181542198,3.56908140403286,72326,35.116264,-90.907852                                                                                                                                               ,54.2,29565.0,1647,Tech
4647203,1.794,0,0.,0.7091729323308271,3.950266429840142,27601,35.773632,-78.634457                                                                                                                                                           ,29.9,25248.0,9975,Outdoors & Adventure
43808101,16.914,14898416,5.752,0.0,4.8125,04284,44.362503,-70.06123                                                                                                                                                ,54.2,59432.0,1081,Outdoors & Adventure
1020021921,393.833,5483614,2.117,0.04161490683229813,4.312925170068027,79068,35.346662,-101.444262                                                                                                                                            ,36.5,73148.0,3220,Socializing
141824715,54.759,772200,0.298,0.05263157894736842,3.9145907473309607,68635,41.083416,-97.015909                                                                                                                                                ,45.7,43906.0,380,Tech
42491909,16.406,1027919,0.397,0.023427516683231574,4.259818731117825,18644,41.32793,-75.882372                                                                                                                                                 ,47.0,56152.0,7043,Outdoors & Adventure
14157626,5.466,1455616,0.562,0.17446064139941692,5.001090852423252,55417,44.90444,-93.230407                                                                                                                                                  ,38.7,74007.0,25725,Socializing
25550395,9.865,0,0.,0.010389610389610391,3.81375,28909,35.001608,-83.904752                                                                                                                                                          ,38.9,53384.0,1155,Outdoors & Adventure
98684034,38.102,0,0.,0.13274239439702346,5.5256603773584905,85718,32.333304,-110.916607                                                                                                                                                        ,50.9,76853.0,27414,Outdoors & Adventure
2880059,1.112,0,0.,0.56889745708253,4.7138794084186575,30313,33.764539,-84.397339                                                                                                                                                           ,21.3,39427.0,10893,Socializing
2782021211,1074.144,87401,0.034,0.2453473945409429,3.6332107199159216,76936,30.883194,-100.595683                                                                                                                                             ,35.5,55543.0,3224,Others
18664474,7.206,66370323,25.626,0.03508771929824561,4.308411214953272,27923,36.396245,-75.931116                                                                                                                                               ,36.0,46103.0,456,Socializing
186160807,71.877,3243412,1.252,0.21018639633747546,4.488298943130348,31047,32.46728,-83.595342                                                                                                                                                ,38.4,79128.0,12232,Socializing
14875692,5.744,47450,0.018,0.9886749716874292,2.6905940594059405,99769,63.677862,-170.482846                                                                                                                                                  ,22.9,33661.0,883,Tech
22939061,8.857,129414,0.05,0.06942148760330577,2.419512195121951,24878,37.439308,-81.625265                                                                                                                                                   ,41.0,23550.0,605,Tech
25601878,9.885,43907,0.017,0.8886641888937473,3.974265476340165,20785,38.918291,-76.881948                                                                                                                                                   ,34.5,60883.0,36592,Socializing
239903720,92.627,10611734,4.097,0.11487848251333728,3.9303531309407225,37388,35.343671,-86.221295                                                                                                                                              ,42.1,38965.0,25305,Socializing
38899394,15.019,1359,0.001,0.15530527563722585,5.881780507659291,90049,34.09254,-118.491064                                                                                                                                                   ,41.7,115629.0,35427,Socializing
40999566,15.83,4480880,1.73,0.0990840965861782,4.338366890380313,27009,36.230931,-80.078657                                                                                                                                                  ,46.3,70208.0,2402,Socializing
15540414,6.,14595,0.006,0.1742671009771987,3.7256011315417257,95346,38.065529,-120.170699                                                                                                                                                     ,49.9,53316.0,1842,Outdoors & Adventure
598529321,231.093,177960,0.069,0.0,4.023255813953488,81081,37.048164,-104.214951                                                                                                                                              ,67.4,38125.0,43,Tech
9939218,3.838,5658204,2.185,0.08214213811153613,4.480908410282007,07732,40.430451,-73.990424                                                                                                                                                  ,48.1,62806.0,4967,Tech
137880468,53.236,1294377,0.5,0.03610212569316081,3.68261231281198,27021,36.319389,-80.338592                                                                                                                                                 ,42.6,42433.0,17312,Socializing
179074646,69.141,105888,0.041,0.1107955483636604,4.762452900501015,95472,38.398815,-122.861923                                                                                                                                               ,50.9,71211.0,30281,Tech
6428718,2.482,238791,0.092,0.5428473881870945,3.645741878841089,50314,41.604964,-93.6312                                                                                                                                                     ,30.2,30836.0,11716,Socializing
55821393,21.553,16798404,6.486,0.2702581144898928,3.7767764039922542,21220,39.34728,-76.39008                                                                                                                                                 ,37.4,57646.0,40021,Socializing
207610695,80.159,730189,0.282,0.24488098950213075,4.909610983981693,85226,33.252224,-112.010313                                                                                                                                               ,35.8,77350.0,38484,Socializing
2032006,0.785,2214933,0.855,0.4620583353094617,4.287225113312069,17102,40.27037,-76.905279                                                                                                                                                   ,35.2,36443.0,8434,Socializing
94463616,36.473,2940726,1.135,0.015758160475960764,4.809642938367068,06057,41.841053,-72.998664                                                                                                                                                ,46.2,94167.0,6219,Outdoors & Adventure
12944540,4.998,491456,0.19,0.2964101131442939,4.011679498890774,78702,30.263378,-97.714483                                                                                                                                                   ,34.2,41016.0,21477,Tech
55922906,21.592,23774230,9.179,0.4093567251461988,3.8574821852731587,71859,33.744439,-93.910186                                                                                                                                               ,58.7,55385.0,513,Others
313674440,121.11,1573511,0.608,0.020555434069538598,3.7449808429118776,24266,36.858754,-82.120965                                                                                                                                               ,42.1,39589.0,9146,Outdoors & Adventure
185006284,71.431,0,0.,0.35,3.65863453815261,83870,47.125867,-116.831526                                                                                                                                                       ,47.0,35625.0,340,Outdoors & Adventure
37413608,14.445,1093858,0.422,0.3756268161596421,5.508839872032329,30005,34.08904,-84.217046                                                                                                                                                 ,35.0,106516.0,38887,Socializing
19800092,7.645,5038,0.002,0.9372751322751324,3.829058124227072,20747,38.854991,-76.883313                                                                                                                                                    ,36.6,60421.0,37800,Socializing
19180220,7.406,236783,0.091,0.27824142075043395,5.456473773944439,22032,38.817797,-77.290205                                                                                                                                                  ,42.1,140253.0,29956,Socializing
