GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15
Id,Id2,Geography,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Less than 9th grade,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Total; Estimate; Population 25 years and over - Some college, no degree",Total; Estimate; Population 25 years and over - Associate's degree,Total; Estimate; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree
8600000US00979,00979,ZCTA5 00979,12273,875,597,2060,1812,1080,3633,2216
8600000US00982,00982,ZCTA5 00982,10545,1314,808,2875,1498,1462,1901,687
8600000US00983,00983,ZCTA5 00983,26502,2760,1750,7227,4714,3097,5060,1894
8600000US00985,00985,ZCTA5 00985,23342,3022,1662,6861,3740,3006,3753,1298
8600000US00987,00987,ZCTA5 00987,40144,4440,2734,9526,5592,4799,9554,3499
8600000US01001,01001,ZCTA5 01001,12865,307,788,3802,2862,1501,2218,1387
8600000US01002,01002,ZCTA5 01002,13296,297,286,1636,1371,669,3230,5807
8600000US01003,01003,ZCTA5 01003,188,0,30,12,90,10,23,23
8600000US01005,01005,ZCTA5 01005,3453,47,101,1405,665,408,483,344
8600000US01007,01007,ZCTA5 01007,9891,203,553,2305,1627,1051,2254,1898
8600000US01008,01008,ZCTA5 01008,897,0,38,298,214,97,149,101
8600000US01009,01009,ZCTA5 01009,340,41,33,96,89,23,47,11
8600000US01010,01010,ZCTA5 01010,2704,30,132,518,488,411,685,440
8600000US01011,01011,ZCTA5 01011,1069,23,65,465,208,118,124,66
8600000US01012,01012,ZCTA5 01012,390,4,11,114,73,28,90,70
8600000US01013,01013,ZCTA5 01013,14916,1022,1805,5807,2574,1319,1543,846
8600000US01020,01020,ZCTA5 01020,22839,1126,1823,8588,4554,2784,2609,1355
8600000US01022,01022,ZCTA5 01022,1868,0,86,571,401,297,286,227
8600000US01026,01026,ZCTA5 01026,784,3,19,270,140,59,169,124
8600000US01027,01027,ZCTA5 01027,13729,211,507,4380,2573,1466,2982,1610
8600000US01028,01028,ZCTA5 01028,11534,265,367,2927,2019,1203,2546,2207
8600000US01029,01029,ZCTA5 01029,553,3,30,207,136,52,85,40
8600000US01030,01030,ZCTA5 01030,7868,120,365,2542,1589,964,1518,770
8600000US01031,01031,ZCTA5 01031,940,12,78,436,132,87,141,54
8600000US01032,01032,ZCTA5 01032,479,0,26,115,70,61,93,114
8600000US01033,01033,ZCTA5 01033,4507,122,170,1420,819,438,806,732
8600000US01034,01034,ZCTA5 01034,1561,12,74,545,322,138,315,155
8600000US01035,01035,ZCTA5 01035,4192,20,143,1089,546,449,1074,871
8600000US01036,01036,ZCTA5 01036,3756,70,130,1037,529,568,803,619
8600000US01037,01037,ZCTA5 01037,507,0,14,155,83,49,90,116
8600000US01038,01038,ZCTA5 01038,2176,25,11,762,288,250,482,358
8600000US01039,01039,ZCTA5 01039,963,10,26,129,160,111,234,293
8600000US01040,01040,ZCTA5 01040,26329,2816,3163,7504,4762,1922,3842,2320
8600000US01050,01050,ZCTA5 01050,1691,17,114,612,437,199,174,138
8600000US01053,01053,ZCTA5 01053,1390,16,118,349,231,105,285,286
8600000US01054,01054,ZCTA5 01054,1502,9,67,207,194,87,368,570
8600000US01056,01056,ZCTA5 01056,15750,1167,1369,5477,2730,1731,2131,1145
8600000US01057,01057,ZCTA5 01057,6360,114,412,2269,1244,560,1071,690
8600000US01060,01060,ZCTA5 01060,9949,240,217,1580,1309,599,2482,3522
8600000US01062,01062,ZCTA5 01062,7789,152,338,1338,1017,510,1934,2500
8600000US01063,01063,ZCTA5 01063,12,0,0,0,12,0,0,0
8600000US01066,01066,ZCTA5 01066,10,0,0,0,0,0,0,10
8600000US01068,01068,ZCTA5 01068,1252,14,72,334,231,132,278,191
8600000US01069,01069,ZCTA5 01069,6471,124,538,2265,1349,611,981,603
8600000US01070,01070,ZCTA5 01070,443,8,17,101,84,35,95,103
8600000US01071,01071,ZCTA5 01071,998,23,40,388,148,101,213,85
8600000US01072,01072,ZCTA5 01072,1058,13,37,155,129,59,249,416
8600000US01073,01073,ZCTA5 01073,4485,11,315,1268,764,790,764,573
8600000US01074,01074,ZCTA5 01074,171,0,25,59,24,0,63,0
8600000US01075,01075,ZCTA5 01075,11817,261,646,2504,2492,1273,2411,2230
8600000US01077,01077,ZCTA5 01077,6784,274,385,2021,1193,637,1120,1154
8600000US01079,01079,ZCTA5 01079,469,0,25,130,157,20,137,0
8600000US01080,01080,ZCTA5 01080,1614,59,145,816,223,120,210,41
8600000US01081,01081,ZCTA5 01081,1224,42,49,538,261,108,171,55
8600000US01082,01082,ZCTA5 01082,7184,125,513,2858,1392,743,1086,467
8600000US01083,01083,ZCTA5 01083,2075,22,172,835,567,167,305,7
8600000US01084,01084,ZCTA5 01084,138,0,3,34,12,3,37,49
8600000US01085,01085,ZCTA5 01085,26651,869,1426,7686,5160,2782,5843,2885
8600000US01086,01086,ZCTA5 01086,16,0,0,0,0,8,8,0
8600000US01088,01088,ZCTA5 01088,442,9,36,174,9,55,71,88
8600000US01089,01089,ZCTA5 01089,19502,849,1397,5687,3668,2122,3739,2040
8600000US01092,01092,ZCTA5 01092,931,0,97,260,168,174,231,1
8600000US01093,01093,ZCTA5 01093,244,0,15,51,18,16,78,66
8600000US01094,01094,ZCTA5 01094,268,23,6,101,45,29,36,28
8600000US01095,01095,ZCTA5 01095,10376,210,411,2382,1906,963,2644,1860
8600000US01096,01096,ZCTA5 01096,1834,5,106,558,257,201,416,291
8600000US01097,01097,ZCTA5 01097,20,0,0,10,10,0,0,0
8600000US01098,01098,ZCTA5 01098,892,25,69,251,132,80,180,155
8600000US01103,01103,ZCTA5 01103,1674,294,325,208,399,108,139,201
8600000US01104,01104,ZCTA5 01104,14835,1824,1948,5467,2509,1236,1272,579
8600000US01105,01105,ZCTA5 01105,7022,1459,1327,2330,963,351,344,248
8600000US01106,01106,ZCTA5 01106,11020,201,271,1356,1327,621,3117,4127
8600000US01107,01107,ZCTA5 01107,6515,1650,1381,1492,1170,217,393,212
8600000US01108,01108,ZCTA5 01108,16110,1548,2226,4586,3234,1202,1779,1535
8600000US01109,01109,ZCTA5 01109,15689,1310,2160,5798,3045,1147,1493,736
8600000US01118,01118,ZCTA5 01118,10009,379,680,2791,2131,1090,1878,1060
8600000US01119,01119,ZCTA5 01119,8453,487,1054,2513,1924,742,1083,650
8600000US01128,01128,ZCTA5 01128,1853,71,56,641,465,127,325,168
8600000US01129,01129,ZCTA5 01129,5118,244,421,1491,1102,643,672,545
8600000US01151,01151,ZCTA5 01151,5290,400,616,1846,1170,449,515,294
8600000US01199,01199,ZCTA5 01199,0,0,0,0,0,0,0,0
8600000US01201,01201,ZCTA5 01201,32928,1301,2067,10885,6427,3546,5158,3544
8600000US01220,01220,ZCTA5 01220,6040,244,386,2525,1100,444,949,392
8600000US01222,01222,ZCTA5 01222,628,4,63,215,93,47,157,49
8600000US01223,01223,ZCTA5 01223,1887,23,118,616,332,169,322,307
8600000US01224,01224,ZCTA5 01224,102,7,0,31,29,16,0,19
8600000US01225,01225,ZCTA5 01225,2327,20,121,937,565,273,306,105
8600000US01226,01226,ZCTA5 01226,4998,30,168,1587,1129,606,932,546
8600000US01229,01229,ZCTA5 01229,92,0,0,27,27,0,32,6
8600000US01230,01230,ZCTA5 01230,5851,222,334,1656,767,395,1257,1220
8600000US01235,01235,ZCTA5 01235,2151,40,128,820,329,201,421,212
8600000US01236,01236,ZCTA5 01236,1011,16,13,193,170,19,244,356
8600000US01237,01237,ZCTA5 01237,1922,20,121,672,234,265,321,289
8600000US01238,01238,ZCTA5 01238,4438,146,240,1136,877,305,1059,675
8600000US01240,01240,ZCTA5 01240,3569,100,94,770,532,293,836,944
8600000US01242,01242,ZCTA5 01242,278,1,0,98,70,31,51,27
8600000US01243,01243,ZCTA5 01243,322,7,0,129,77,31,40,38
8600000US01244,01244,ZCTA5 01244,107,8,0,23,21,3,34,18
8600000US01245,01245,ZCTA5 01245,765,0,15,214,119,55,196,166
8600000US01247,01247,ZCTA5 01247,11041,417,1136,3966,2155,815,1575,977
8600000US01253,01253,ZCTA5 01253,559,18,27,152,138,64,80,80
8600000US01254,01254,ZCTA5 01254,790,7,23,139,112,105,224,180
8600000US01255,01255,ZCTA5 01255,645,6,75,199,90,44,121,110
8600000US01256,01256,ZCTA5 01256,568,13,60,249,102,50,48,46
8600000US01257,01257,ZCTA5 01257,1686,44,116,536,286,144,289,271
8600000US01258,01258,ZCTA5 01258,314,0,1,72,55,20,116,50
8600000US01259,01259,ZCTA5 01259,494,4,31,110,73,49,108,119
8600000US01260,01260,ZCTA5 01260,309,0,95,74,48,67,19,6
8600000US01262,01262,ZCTA5 01262,993,124,22,309,162,22,152,202
8600000US01264,01264,ZCTA5 01264,137,1,2,43,16,15,19,41
8600000US01266,01266,ZCTA5 01266,1138,5,23,209,232,96,293,280
8600000US01267,01267,ZCTA5 01267,4164,80,208,703,486,165,1032,1490
8600000US01270,01270,ZCTA5 01270,583,0,20,136,121,65,140,101
8600000US01301,01301,ZCTA5 01301,13051,307,797,3724,2661,1506,2154,1902
8600000US01330,01330,ZCTA5 01330,1094,6,20,254,189,114,292,219
8600000US01331,01331,ZCTA5 01331,9384,325,855,3675,1890,1043,1131,465
8600000US01337,01337,ZCTA5 01337,1975,28,93,662,341,276,350,225
8600000US01338,01338,ZCTA5 01338,168,0,5,38,20,53,22,30
8600000US01339,01339,ZCTA5 01339,1032,24,53,326,233,63,162,171
8600000US01340,01340,ZCTA5 01340,1286,41,82,428,254,140,177,164
8600000US01341,01341,ZCTA5 01341,1255,0,19,198,238,109,332,359
8600000US01342,01342,ZCTA5 01342,1111,20,16,124,154,42,341,414
8600000US01343,01343,ZCTA5 01343,46,2,2,23,3,5,2,9
8600000US01344,01344,ZCTA5 01344,1113,11,55,463,194,194,140,56
8600000US01346,01346,ZCTA5 01346,363,9,11,130,51,36,67,59
8600000US01347,01347,ZCTA5 01347,102,0,0,43,6,32,0,21
8600000US01349,01349,ZCTA5 01349,818,52,46,275,167,47,186,45
8600000US01350,01350,ZCTA5 01350,82,2,1,44,10,10,13,2
8600000US01351,01351,ZCTA5 01351,1721,16,38,513,385,157,378,234
8600000US01354,01354,ZCTA5 01354,1273,16,32,313,194,129,318,271
8600000US01355,01355,ZCTA5 01355,721,0,18,183,159,65,153,143
8600000US01360,01360,ZCTA5 01360,2246,19,98,572,351,382,402,422
8600000US01364,01364,ZCTA5 01364,5571,178,567,2099,1278,610,529,310
8600000US01366,01366,ZCTA5 01366,877,2,16,242,184,86,172,175
8600000US01367,01367,ZCTA5 01367,443,5,44,125,111,35,79,44
8600000US01368,01368,ZCTA5 01368,959,37,73,399,225,81,78,66
8600000US01370,01370,ZCTA5 01370,3144,69,145,734,639,361,728,468
8600000US01373,01373,ZCTA5 01373,3261,22,92,713,790,369,761,514
8600000US01375,01375,ZCTA5 01375,2163,35,123,290,190,201,557,767
8600000US01376,01376,ZCTA5 01376,3909,152,489,1146,838,335,609,340
